,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,BE_F
0,0,21,2.5,550,244,0,44.03407727
1,1,21,3.2,550,244,0,46.7471453
2,2,21,3.9,550,244,0,49.39143771
3,3,21,4.6,550,244,0,51.95469585
4,4,21,5.3,550,244,0,54.58952957
