,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
664,664,50,0,0,0,0,0,0,0,1,0,1,0,1,1.1,1,0,20469.6541,0,20469.6541,20469.6541,1.5498795810069377,23562.874,0,24241.5178,0.0,2.2393978458118435,2.2393978458118435,0.0,2.2393978458118435,2.2393978458118435,2045.0,2045.0,8.8505,8.8505,9.8992,9.8992,9424.2571,20843.9498,11836.0359,62614.6367,40.7398,9424.2571,20843.9498,11836.0359,62614.6367,40.7398
665,665,50,0,0,0,0,0,0,0,1,0,1,1,1,1.1,1,0,38579.2219,0,38579.2219,38579.2219,1.9483124565950507,34445.562,0,44702.2028,0.0,4.230481283882276,4.230481283882276,0.0,4.230481283882276,4.230481283882276,2046.0,2046.0,8.4887,8.4887,7.4998,7.4998,16057.0355,31117.59,22048.3651,107857.7667,55.5543,16057.0355,31117.59,22048.3651,107857.7667,55.5543
666,666,50,0,0,0,0,0,1,0,0,0,0,0,1,1.1,1,0,-2487.3696,0,-2487.3696,-2487.3696,0.0,5359.968,0,10164.9088,0.0,0.19836311288557587,0.19836311288557587,0.0,0.19836311288557587,0.19836311288557587,2033.0,2033.0,27.3216,27.3216,25.6699,25.6699,3658.6674,5110.529,0,6281.8268,0,3658.6674,5110.529,0,6281.8268,0
667,667,50,0,0,0,0,0,1,0,0,0,0,1,1,1.1,1,0,15730.4567,0,15730.4567,15730.4567,1.6638851253506666,16242.6561,0,30625.5938,0.0,2.2333281632507656,2.2333281632507656,0.0,2.2333281632507656,2.2333281632507656,2046.0,2046.0,10.8783,10.8783,6.5798,6.5798,11164.2696,15384.1692,9866.7521,52164.1657,18.5181,11164.2696,15384.1692,9866.7521,52164.1657,18.5181
668,668,50,0,0,0,0,0,1,0,0,1,0,0,1,1.1,1,0,10451.4413,0,10451.4413,10451.4413,0.8955482407474894,22598.6363,0,20324.4615,0.0,1.6895353177668306,1.6895353177668306,0.0,1.6895353177668306,1.6895353177668306,2044.0,2044.0,9.5664,9.5664,12.5765,12.5765,7855.9864,20052.7338,7506.9876,45904.494,37.3448,7855.9864,20052.7338,7506.9876,45904.494,37.3448
669,669,50,0,0,0,0,0,1,0,0,1,0,1,1,1.1,1,0,28489.1614,0,28489.1614,28489.1614,1.5261091470585253,33481.3243,0,40785.1465,0.0,3.6895947280036374,3.6895947280036374,0.0,3.6895947280036374,3.6895947280036374,2046.0,2046.0,8.8419,8.8419,8.3281,8.3281,14546.4186,30326.374,17791.6246,91202.9601,49.3816,14546.4186,30326.374,17791.6246,91202.9601,49.3816
670,670,50,0,0,0,0,0,1,0,0,0,1,0,1,1.1,1,0,13127.9016,0,13127.9016,13127.9016,1.0363803010161956,24077.0734,0,24730.0949,0.0,2.001955952445682,2.001955952445682,0.0,2.001955952445682,2.001955952445682,2045.0,2045.0,10.1725,10.1725,11.2916,11.2916,9644.9561,21334.2197,8982.2357,53123.263,33.9499,9644.9561,21334.2197,8982.2357,53123.263,33.9499
671,671,50,0,0,0,0,0,1,0,0,0,1,1,1,1.1,1,0,31229.2014,0,31229.2014,31229.2014,1.595686281303243,34959.7615,0,45190.7799,0.0,3.9935262334887898,3.9935262334887898,0.0,3.9935262334887898,3.9935262334887898,2046.0,2046.0,9.1109,9.1109,8.0451,8.0451,16275.3512,31607.8599,19207.2506,98369.0447,49.3816,16275.3512,31607.8599,19207.2506,98369.0447,49.3816
672,672,50,0,0,0,0,0,1,1,0,0,0,0,1,1.1,1,0,4735.6802,0,4735.6802,4735.6802,0.7791767520243787,10709.968,0,17879.2882,0.0,0.7702033728495692,0.7702033728495692,0.0,0.7702033728495692,0.7702033728495692,2036.0,2036.0,14.824,14.824,13.2101,13.2101,7130.1965,10211.5539,3221.2728,25314.7138,16.0104,7130.1965,10211.5539,3221.2728,25314.7138,16.0104
673,673,50,0,0,0,0,0,1,1,0,0,0,1,1,1.1,1,0,22536.7893,0,22536.7893,22536.7893,1.7552549368191777,21592.6561,0,38339.9733,0.0,2.782939414910793,2.782939414910793,0.0,2.782939414910793,2.782939414910793,2045.0,2045.0,10.7903,10.7903,7.0918,7.0918,14481.0606,20485.194,13419.6081,70949.8119,27.1599,14481.0606,20485.194,13419.6081,70949.8119,27.1599
674,674,50,0,0,0,0,0,1,1,0,1,0,0,1,1.1,1,0,17318.0132,0,17318.0132,17318.0132,1.1270979214252699,27948.6363,0,28038.8409,0.0,2.2465260525680444,2.2465260525680444,0.0,2.2465260525680444,2.2465260525680444,2043.0,2043.0,9.7484,9.7484,11.7285,11.7285,11156.701,25153.7587,11033.0079,64710.776,49.2952,11156.701,25153.7587,11033.0079,64710.776,49.2952
675,675,50,0,0,0,0,0,1,1,0,1,0,1,1,1.1,1,0,35269.6513,0,35269.6513,35269.6513,1.5987145011559207,38831.3243,0,48499.526,0.0,4.263144017897636,4.263144017897636,0.0,4.263144017897636,4.263144017897636,2046.0,2046.0,9.2265,9.2265,8.3936,8.3936,17996.4804,35427.3988,21368.0073,110117.0922,55.5543,17996.4804,35427.3988,21368.0073,110117.0922,55.5543
676,676,50,0,0,0,0,0,1,1,0,0,1,0,1,1.1,1,0,20008.6645,0,20008.6645,20008.6645,1.2289238095239705,29427.0734,0,32444.4743,0.0,2.539949482764028,2.539949482764028,0.0,2.539949482764028,2.539949482764028,2043.0,2043.0,9.9949,9.9949,10.9172,10.9172,12842.378,26435.2446,12477.9364,71813.5187,49.2952,12842.378,26435.2446,12477.9364,71813.5187,49.2952
677,677,50,0,0,0,0,0,1,1,0,0,1,1,1,1.1,1,0,38000.0622,0,38000.0622,38000.0622,1.6560877337488586,40309.7615,0,52905.1593,0.0,4.5670755233827895,4.5670755233827895,0.0,4.5670755233827895,4.5670755233827895,2046.0,2046.0,9.4374,9.4374,8.141,8.141,19725.413,36708.8847,22793.2625,117283.1767,55.5543,19725.413,36708.8847,22793.2625,117283.1767,55.5543
