,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
13,13,50,2.5,150,244,0,0,68551.2498,0,68551.2498,68551.2498,2.5616848513771333,44940.4008,0,38731.5666,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.3148,3.3148,3.8461,3.8461,31987.7475,42848.9909,41214.3844,184602.3727,0,31987.7475,42848.9909,41214.3844,184602.3727,0
14,14,55,2.5,150,244,0,0,68551.2498,0,82555.3236,82555.3236,3.024932943289965,44940.4008,0,38731.5666,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.3148,3.3148,3.8461,3.8461,31987.7475,42848.9909,41214.3844,184602.3727,0,31987.7475,42848.9909,47060.0281,204452.0902,0
15,15,60,2.5,150,244,0,0,68551.2498,0,96498.5999,96498.5999,3.4881810352027953,44940.4008,0,38731.5666,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.3148,3.3148,3.8461,3.8461,31987.7475,42848.9909,41214.3844,184602.3727,0,31987.7475,42848.9909,52966.4692,224301.8076,0
16,16,25,2.5,150,304,0,0,65844.7632,0,-5076.4117,-5076.4117,0.16025256064122786,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,11943.0737,85353.7852,0
17,17,30,2.5,150,304,0,0,65844.7632,0,9272.6998,9272.6998,0.623500652554059,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,17443.6796,105203.5027,0
18,18,35,2.5,150,304,0,0,65844.7632,0,23519.922,23519.922,1.0867487444668902,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,23046.175,125053.2202,0
19,19,40,2.5,150,304,0,0,65844.7632,0,37646.4011,37646.4011,1.549996836379721,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,28769.4134,144902.9377,0
20,20,45,2.5,150,304,0,0,65844.7632,0,51758.672,51758.672,2.0132449282925515,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,34506.8599,164752.6552,0
21,21,50,2.5,150,304,0,0,65844.7632,0,65844.7632,65844.7632,2.476493020205383,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,40270.4863,184602.3727,0
22,22,55,2.5,150,304,0,0,65844.7632,0,79856.1601,79856.1601,2.939741112118215,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,46108.8068,204452.0902,0
23,23,60,2.5,150,304,0,0,65844.7632,0,93862.9202,93862.9202,3.402989204031045,44940.4008,0,43123.7277,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6906,3.6906,3.8461,3.8461,35638.1323,42848.9909,40270.4863,184602.3727,0,35638.1323,42848.9909,51951.7642,224301.8076,0
24,24,25,2.5,150,364,0,0,63078.6474,0,-8022.7083,-8022.7083,0.0750607294694777,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,11238.9855,85353.7852,0
25,25,30,2.5,150,364,0,0,63078.6474,0,6397.1819,6397.1819,0.5383088213823086,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,16668.8128,105203.5027,0
26,26,35,2.5,150,364,0,0,63078.6474,0,20649.6183,20649.6183,1.0015569132951396,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,22266.0939,125053.2202,0
27,27,40,2.5,150,364,0,0,63078.6474,0,34854.1055,34854.1055,1.4648050052079709,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,27911.3242,144902.9377,0
28,28,45,2.5,150,364,0,0,63078.6474,0,48966.3765,48966.3765,1.9280530971208014,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,33648.7707,164752.6552,0
29,29,50,2.5,150,364,0,0,63078.6474,0,63078.6474,63078.6474,2.3913011890336326,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,39386.2172,184602.3727,0
30,30,55,2.5,150,364,0,0,63078.6474,0,77149.6734,77149.6734,2.8545492809464643,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,45164.9087,204452.0902,0
31,31,60,2.5,150,364,0,0,63078.6474,0,91161.0703,91161.0703,3.3177973728592955,44940.4008,0,47515.8888,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0665,4.0665,3.8461,3.8461,39288.5171,42848.9909,39386.2172,184602.3727,0,39288.5171,42848.9909,51003.2293,224301.8076,0
32,32,25,2.5,150,424,0,0,60286.3518,0,-11028.3979,-11028.3979,0.0,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,10594.2904,85353.7852,0
33,33,30,2.5,150,424,0,0,60286.3518,0,3455.9617,3455.9617,0.4531169902105585,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,15959.6482,105203.5027,0
34,34,35,2.5,150,424,0,0,60286.3518,0,17779.3146,17779.3146,0.9163650821233895,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,21486.0128,125053.2202,0
