,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,capex_h,opex_h,produc_h,costo_gel_p,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
105,105,50,1,0,0,1,4.2,1,1,0.9,1,0,1766.5433,0,1771.4937,1771.4937,6.770358421502351,790.3366,0,34.1915,0.0,0.15418712374987503,0.15418712374987503,0.0,0.15418712374987503,0.15418712374987503,2056.0,2056.0,0.18,0.18,2.1016,2.1016,13.9651,376.7782,778.8098,2936.0963,0,13.9651,376.7782,780.9314,2943.1684,0
106,106,50,1,0,1,0,4.2,1,1,0.9,1,0,4799.7165,0,4819.5183,4819.5183,6.908403557057969,2107.5643,0,91.1774,0.0,0.4161798787394999,0.4161798787394999,0.0,0.4161798787394999,0.4161798787394999,2056.0,2056.0,0.18,0.18,2.1016,2.1016,37.2402,1004.7418,2114.9408,7956.6394,0,37.2402,1004.7418,2123.4273,7984.9276,0
107,107,50,1,0,1,1,4.2,1,1,0.9,1,0,5366.3307,0,5386.1325,5386.1325,6.866933014193656,2371.0098,0,102.5746,0.0,0.46632203280449996,0.46632203280449996,0.0,0.46632203280449996,0.46632203280449996,2056.0,2056.0,0.18,0.18,2.1016,2.1016,41.8953,1130.3346,2365.0154,8903.5759,0,41.8953,1130.3346,2373.5018,8931.8641,0
108,108,50,1,1,0,0,4.2,1,1,0.9,1,0,3884.8927,0,3901.641,3901.641,4.504256437288337,2634.4553,0,81.2208,0.0,0.3709094379840408,0.3709094379840408,0.0,0.3709094379840408,0.3709094379840408,2056.0,2056.0,0.18,0.18,2.9476,2.9476,32.3933,1255.9273,1748.5272,6921.7406,0,32.3933,1255.9273,1755.7051,6945.6667,0
109,109,50,1,1,0,1,4.2,1,1,0.9,1,0,4451.783,0,4468.5313,4468.5313,4.68454038815465,2897.9009,0,92.618,0.0,0.4210515920490408,0.4210515920490408,0.0,0.4210515920490408,0.4210515920490408,2056.0,2056.0,0.18,0.18,2.8436,2.8436,37.0483,1381.52,1998.3256,7868.677,0,37.0483,1381.52,2005.5035,7892.6032,0
110,110,50,1,1,1,0,4.2,1,1,0.9,1,0,7485.706,0,7517.3057,7517.3057,5.4079418946573385,4215.1285,0,149.6039,0.0,0.6830443470386661,0.6830443470386661,0.0,0.6830443470386661,0.6830443470386661,2056.0,2056.0,0.18,0.18,2.561,2.561,60.3235,2009.4837,3333.7069,12889.2201,0,60.3235,2009.4837,3347.2496,12934.3624,0
111,111,50,1,1,1,1,4.2,1,1,0.9,1,0,8052.4065,0,8084.0061,8084.0061,5.471308663963544,4478.574,0,161.0011,0.0,0.7331865011036659,0.7331865011036659,0.0,0.7331865011036659,0.7331865011036659,2056.0,2056.0,0.18,0.18,2.5285,2.5285,64.9785,2135.0764,3583.6952,13836.1566,0,64.9785,2135.0764,3597.2379,13881.2989,0
112,112,50,0,0,0,0,4.2,1,1,1.1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,113,50,0,0,0,1,4.2,1,1,1.1,1,0,713.1913,0,713.1913,713.1913,8.143528661567194,263.4455,0,13.9299,0.0,0.06128485496833335,0.06128485496833335,0.0,0.06128485496833335,0.06128485496833335,2056.0,2056.0,0.18,0.18,1.7195,1.7195,5.6895,125.5927,312.8933,1157.3668,0,5.6895,125.5927,312.8933,1157.3668,0
114,114,50,0,0,1,0,4.2,1,1,1.1,1,0,4523.7173,0,4541.8689,4541.8689,8.662896219695302,1580.6732,0,83.5793,0.0,0.38149822217787493,0.38149822217787493,0.0,0.38149822217787493,0.38149822217787493,2056.0,2056.0,0.18,0.18,1.7195,1.7195,34.1369,753.5564,1982.1756,7293.5861,0,34.1369,753.5564,1989.9548,7319.517,0
