,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p
28,28,55,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6717.4648,13013.6819,8084.7,1679.13,29494.9766,22660,6366.2042,316.2,29342.4042,26659.9136,2616.8835030706073
29,29,55,0,0,0,0,0,1,1,0,0,1,1,0,0,0,12124.5276,21169.8519,9763.83,5037.39,48095.5994,30890,9018.8922,474.3,40383.1922,49402.9839,4704.393428740118
30,30,55,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5482.0965,10876.2649,1679.13,0,18037.4914,7430,2775.7367,52.7,10258.4367,5187.5122,676.0927012624946
31,31,55,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10889.1592,19032.4349,3358.26,3358.26,36638.1141,15660,5428.4247,210.8,21299.2247,27541.0732,2795.4403169477487
32,32,55,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6633.3534,10876.2649,9763.83,0,27273.4483,21140,6304.4049,316.2,27760.6049,20928.2824,2198.4517657476636
33,33,55,0,0,0,0,0,1,0,1,1,0,1,0,0,0,12040.4162,19032.4349,11442.96,3358.26,45874.0711,29370,8957.0929,474.3,38801.3929,43563.1668,4279.171125146466
34,34,55,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7467.625,14047.1146,9763.83,0,31278.5696,22060,6862.842,316.2,29239.042,24275.8993,2518.07884308112
35,35,55,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12874.6877,22203.2846,11442.96,3358.26,49879.1924,30290,9515.5301,474.3,40279.8301,46980.5512,4591.095152666091
36,36,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1862.3433,6488.79,0,5037.39,13388.5233,6900,2380.0021,158.1,9438.1021,22535.0185,1290.1743072782285
37,37,55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7269.4061,14644.96,1679.13,8395.65,31989.1461,15130,5032.6901,316.2,20478.8901,45258.0457,3349.8236411139187
38,38,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3013.6003,6488.79,8084.7,5037.39,22624.4803,20610,5908.6704,421.6,26940.2704,38604.797,2774.012610157102
39,39,55,1,0,0,0,0,0,0,0,1,0,1,0,0,0,8420.6631,14644.96,9763.83,8395.65,41225.1031,28840,8561.3584,579.7,37981.0584,61313.7498,4857.304503334043
40,40,55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3847.8719,9659.6397,8084.7,5037.39,26629.6016,21530,6467.1075,421.6,28418.7075,41961.307,3094.737388751768
41,41,55,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9254.9346,17815.8097,9763.83,8395.65,45230.2243,29760,9119.7955,579.7,39459.4955,64726.2476,5169.228530853667
42,42,55,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3579.2708,10105.8048,0,6716.52,20401.5955,11000,3229.1328,210.8,14439.9328,31409.1826,1853.2218844495885
43,43,55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,8986.3336,18261.9748,1679.13,10074.78,39002.2183,19230,5881.8208,368.9,25480.7208,54024.3946,3925.536916352439
44,44,55,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4730.5278,10105.8048,8084.7,6716.52,29637.5525,24710,6757.8011,474.3,31942.1011,47397.2926,3328.5826461175843
45,45,55,1,0,0,0,0,0,1,0,1,0,1,0,0,0,10137.5905,18261.9748,9763.83,10074.78,48238.1753,32940,9410.4891,632.4,42982.8891,70059.5642,5399.664924034316
46,46,55,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5564.7993,13276.6545,8084.7,6716.52,33642.6738,25630,7316.2382,474.3,33420.5382,50765.699,3649.081290644372
47,47,55,1,0,0,0,0,0,1,0,0,1,1,0,0,0,10971.8621,21432.8245,9763.83,10074.78,52243.2966,33860,9968.9262,632.4,44461.3262,73465.3918,5708.575454806992
48,48,55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4329.431,11139.2376,1679.13,5037.39,22185.1885,10400,3725.7707,210.8,14336.5707,29091.3449,1748.8244211004858
49,49,55,1,0,0,0,0,0,0,1,0,0,1,0,0,0,9736.4937,19295.4076,3358.26,8395.65,40785.8113,18630,6378.4587,368.9,25377.3587,51601.8556,3813.9244233865693
50,50,55,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5480.688,11139.2376,9763.83,5037.39,31421.1455,24110,7254.439,474.3,31838.739,45030.4408,3226.106420631813
51,51,55,1,0,0,0,0,0,0,1,1,0,1,0,0,0,10887.7507,19295.4076,11442.96,8395.65,50021.7683,32340,9907.127,632.4,42879.527,67641.74,5317.0998920246275
52,52,55,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6314.9595,14310.0873,9763.83,5037.39,35426.2668,25030,7812.8761,474.3,33317.1761,48362.2134,3543.672330812277
53,53,55,1,0,0,0,0,0,0,1,0,1,1,0,0,0,11722.0223,22466.2573,11442.96,8395.65,54026.8895,33260,10465.5641,632.4,44357.9641,71047.7402,5626.010422797303
54,54,55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4877.3521,12714.6074,0,5037.39,22629.3495,10830,3809.9701,158.1,14798.0701,21045.0859,1514.5086874476679
55,55,55,1,0,0,0,0,1,0,0,0,0,1,0,0,0,10284.4149,20870.7774,1679.13,8395.65,41229.9723,19060,6462.6582,316.2,25838.8582,43590.1612,3607.9553304914516
56,56,55,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6028.6091,12714.6074,8084.7,5037.39,31865.3065,24540,7338.6384,421.6,32300.2384,36989.6399,3009.1308382712846
57,57,55,1,0,0,0,0,1,0,0,1,0,1,0,0,0,11435.6719,20870.7774,9763.83,8395.65,50465.9292,32770,9991.3264,579.7,43341.0264,59621.1038,5082.083338173328
58,58,55,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6862.8807,15885.4571,8084.7,5037.39,35870.4277,25460,7897.0755,421.6,33778.6755,40324.3021,3330.393653343141
59,59,55,1,0,0,0,0,1,0,0,0,1,1,0,0,0,12269.9434,24041.6271,9763.83,8395.65,54471.0505,33690,10549.7636,579.7,44819.4636,63029.0024,5390.993868946008
60,60,55,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6594.2796,16331.6221,0,6716.52,29642.4217,14930,4659.1009,210.8,19799.9009,29926.2626,2073.0904120420655
61,61,55,1,0,0,0,0,1,1,0,0,0,1,0,0,0,12001.3424,24487.7921,1679.13,10074.78,48243.0445,23160,7311.7889,368.9,30840.6889,52357.5202,4153.3115763626665
