,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
0,0,50,3.2,550,244,0,340.6278,91.2437,0,180605.1684,0,20214.9285,201251.9684,7675.5,44940.4008,0,52615.9008,10186.0114,11044.24583917878,14.0
1,1,50,3.2,650,244,0,340.6278,91.2437,0,197524.4994,0,20214.9285,218171.2994,7675.5,44940.4008,0,52615.9008,3828.4358,11044.24583917878,15.0
2,2,50,3.2,750,244,0,340.6278,91.2437,0,214443.8303,0,20214.9285,235090.6304,7675.5,44940.4008,0,52615.9008,-2649.2318,11044.24583917878,16.0
